name,textComment,tagName,replyFlag,Label
Dương Châu,Tư vấn mình sản phẩm phù hợp với tuổi,,TRUE,P
Út Dương,Cho mình xem giá đi sop ơi,,TRUE,P
Trần Tâm,Tư van giupm,,TRUE,P
Thạch Hương Giang,"sẻum giá ok mà dùng khá ok các chị em ạ, nên thử 👌🏻",[],TRUE,P
Thao Phan,Đặt trên Tiki mà có thấy j đâu.,,TRUE,N
Thanh Hương's,cho e xin giá cả bộ sản phẩm ạ,,TRUE,P
Ben Su,Ib ah,,TRUE,P
Hải Yến Nguyễn,Tv giúp mình nha,,TRUE,P
Ngan Khanh Ngan Khanh,gia 1san pham hom nay bao nhieu em,,TRUE,P
Woaini Thúy,cho minh xem gia shop oi,,TRUE,P
Nguyễn Thị Như Quỳnh,tư vấn giúp mình với,,TRUE,P
Khánh Huy,Sản phẩm đều trị cái gì,,TRUE,P
Trinh Le,Se rum gia bn,,TRUE,P
Mai Anh Le,Xin giá đi shop ơi!,,TRUE,P
Vỏ Thị Thu,Bn vậy shop,,TRUE,P
Trang Nguyen Nguyen,Cho mình xin giá,,TRUE,P
Nguyễn Xiêm,Cho minh xin giá,,TRUE,P
Nguyễn Thanh Trúc,Cho mình xin giá,,TRUE,P
Ly Suong,Xin giá,,TRUE,P
Nguyễn Thị Phương Lan,Chai nay serum hay kem,,TRUE,P
Ngan Khanh Ngan Khanh,gui chi chi 1ch gui dchi cu nhe,,TRUE,P
Thuytrang Nguyen,Giá bao nhiêu vậy Shop,,TRUE,P
Trắng Sáng,.,,TRUE,O
Huong Long Thi,Gia bn ạ,,TRUE,P
Thao Tran,bao nhiêu  mot chai vau shop,,TRUE,P
Thuý Hạnh,Bị mụn thâm dùg dc k an,,TRUE,P
Nguyễn ThẮm,Ib e với ạ,,TRUE,P
Nguyễn Phụng,Cho mình xin giá với ạ,,TRUE,P
Tuyet Nguyen,.,,TRUE,O
Nguyễn Ly,Ib tư vấn cho mình nhé...,,TRUE,P
Phạm Hiền,Ad chekc inbox giúp mình với ,,TRUE,P
Hạnh Phạm,Hiền Hoyden,,TRUE,P
Hoa Lan,Quỳnh Anh vẫn xinh như ngày nào,,TRUE,P
Trinh Nguyễn,.,,TRUE,O
Lan Durex,Tính mời anh đi ăn tối nhưng lại sợ thành bữa tối của anh.,,TRUE,O
Lin San,Mong Nghi Ngo,,TRUE,P
Minh Hiếu,Có kết quả chưa ad,,TRUE,P
Mai Đặng,Kết quả minigame ad ơi???,,TRUE,P
Phuong Hoang Ngo,Nga Le xịn qóh síp,['Nga Le'],TRUE,P
Trần Hồng,Qtam,,TRUE,P
Hue Thi Nguyen,Trang này của hãng à mọi người,,TRUE,P
Thi Thi,Dạ mụn đùn ji nhi,,TRUE,P
Tường An,Có KQ mini game chưa Ad ?,,TRUE,P
Hương Giang,Thu Trang ,['Thu Trang'],TRUE,P
Hường Phạm,Hang Pham hãng này nè,['Hang Pham'],TRUE,P
Truc Phuong,.,,TRUE,O
Nhi Thach,Alo,,TRUE,O
Dương Châu,,,TRUE,O
Hany Pony Roxy,Check ib nha shop,,TRUE,P
Teresa Poxtan,,,TRUE,O
Map Heo,.,,TRUE,O
Nhi Huỳnh,...,,TRUE,O
Minh Thư,Cho mình xin giá,,TRUE,P
Loan Trần,Nguyễn Thanh Trúc,,TRUE,P
Hà Vân,.,,TRUE,O
Thuy Hong Nguyen,Cho em xin giá,,TRUE,P
Thuy Ho,Up,,TRUE,P
Thuý Lê,In box,,TRUE,P
Mến Rùa,Ib tv,,TRUE,P
Sang Thi,.,,TRUE,O
Viên Viên Nguyễn,Lan Anh Nguyễn ,['Lan Anh Nguyễn'],TRUE,P
Emi Tong,.,,TRUE,
Ngoc Tran,Ib,,TRUE,
Ngọc Lý,.,,TRUE,
Thuc Tran,.,,TRUE,
Phạm Ngọc Diễm,ib ạ,,TRUE,
Hong Vu,Gia shop ơi ,,TRUE,
Phuong Thanh,Xin giá?,,TRUE,
Kim Hồng,",",,TRUE,
Ngọc Chiin,.,,TRUE,
Mỹ Hoa,Cho xin giá ạ,,TRUE,
Bảo Khánh Thanh Tâm,Xin giá ạ,,TRUE,
Hường Nguyễn,Xin giá a,,TRUE,
Trang Hoàng,Ib,,TRUE,
Lieu Minh,.,,TRUE,
Nguyễn Ánh,Xin giá,,TRUE,
Oanhnguyen Nguyen,.,,TRUE,
Kim Ngân,ll,,TRUE,
Nkỏ TeenTeen,Xin giá,,TRUE,
Hương THu,Ib,,TRUE,
Thuỳ Dương TD,Ib tư vấn cho m nhé,,TRUE,
Nguyễn Thia, Giá ,,TRUE,
Oanh Khắc,...,,TRUE,
Hà Moonnɞ,tư vân,,TRUE,
Duyen Huynh,.,,TRUE,
Cẩm Duyên,.,,TRUE,
Duyên Phạm,...,,TRUE,
Ánh Vui,Giá,,TRUE,
Thụy Nguyễn,Cho xin giá ạ,,TRUE,
Minơ Heo,ib,,TRUE,
Trinh Huynh,.,,TRUE,
Đặng Thị Lan,Cho xin giá,,TRUE,
Trang Nhung,Xin giá ah,,TRUE,
Tường Vy Hướng,Ib giá,,TRUE,
Hoa Nguyen,Giá bn,,TRUE,
Hong Tien Dang,Cho xin giá ạ,,TRUE,
Linh Trâm,.,,TRUE,
Ngoach Rmah,.,,TRUE,
Tang Giau,.,,TRUE,
Thien Anh,❤️❤️,[],TRUE,
Nguyễn Thu Thuỷ,Cho e xin gia,,TRUE,
Nguyễn Ngân,.,,TRUE,
Hồng Thúy Quách,Ib,,TRUE,
Pham Thao,Tư vấn cho em đi sop,,TRUE,
Lê Thị Lý,gá bán bao nhiêu,,TRUE,
Dung Bui,Xin giá,,TRUE,
Bo Bi,Cho xin giá nha,,TRUE,
Hien Dang,Ib babmn,,TRUE,
Ngọc Nhi,,,TRUE,
Vy Tuong,Xin giá,,TRUE,
Phạm Mai,Ib,,TRUE,
Đỗ Vân Anh,Pháp sịn,,TRUE,
Nguyễn Thị Kim Thu,Xin giá sp ạ,,TRUE,
Nguyễn Phương Quỳnh,rep ib,,TRUE,
Nguyễn Oanh,Báo giá ạ,,TRUE,
Kieu Nhu Vu,.,,TRUE,
Phạm Hoa,Xin gia bao nhieu vay,,TRUE,
Tâm Mai,xinh giá,,TRUE,
Thu Lieu,.,,TRUE,
Linh Tăng,.,,TRUE,
Bùi Hoà,Ub,,TRUE,
Tham Pham,Xin giá ạ,,TRUE,
杜氏红艳,.,,TRUE,
Phạm Hà,,,TRUE,
Quynh Ha,.,,TRUE,
Nhung Trieu,.,,TRUE,
Ngọc Thúy Lê,Nguyễn Tiệp ,['Nguyễn Tiệp'],TRUE,
Trịnh Patano,Xin giá,,TRUE,
Thanh Vân,.,,TRUE,
Lê Ngọc Thúy,Ib,,TRUE,
trần tuyết,Xin giá,,TRUE,
Nguyễn Ánh,Giá bán bn,,TRUE,
Chung Lê,Xin giá,,TRUE,
Hoài An,..,,TRUE,
Tư Moon,Giá bn vậy ạ,,TRUE,
Đỗ Oanh,ib,,TRUE,
Lại Thị Ngọ,...,,TRUE,
Nguyễn Duy Khánh,Lan Le,,TRUE,
Quỳnh Mi,Càng nge chị nói càng thấy hay,,TRUE,
Tuong Vi Tra,.,,TRUE,P
Lê Thị Ngọc Thảo,tt,,TRUE,O
Ý Như,Cho mình xin giá,,TRUE,P
Chi,.,,TRUE,P
Thu Van Vo,Cho xin gia nhe,,TRUE,P
Ngọc Cơ,TV e với ạ,,TRUE,P
Kim Nguyên,Cho xin giá,,TRUE,P
Cô Chủ Nhỏ,giá đi ,,TRUE,P
Thanh Hương's,xin giá ạ,,TRUE,P
Pham Kieu,.,,TRUE,P
Tania Tania,,,TRUE,O
Vie Beaute,cho m xin giá nhé,,TRUE,P
Mo To,K hiểu kể j,,TRUE,P
Chung Du,Mua ngay ,,TRUE,N
Chung Du,Mình muốn mau,,TRUE,P
Hồng Loan,Tư vấn mình!,,TRUE,P
Ho Ly Buong Binh,Ib,,TRUE,P
Trần Dung,Bao tiền bạn ơi,,TRUE,P
Mai Thy,.,,TRUE,P
